case,drone_id,role,priority,altitude,completed,mission_time_s,final_battery,battery_consumed,holds_issued,slowdowns_issued,reroutes_issued,lane_slows_issued,rerouted,total_conflicts_in_case,min_separation_observed,separation_violated,worst_pair,worst_pair_time_s
case_4_dynamic_ascent_zone,ASC,ascent_trigger,3,3,False,,64.7,35.3,0,0,0,0,False,0,N/A,N/A,N/A,N/A
case_4_dynamic_ascent_zone,D1,traffic,3,3,False,,64.0,36.0,0,0,1,0,True,0,N/A,N/A,N/A,N/A
case_4_dynamic_ascent_zone,D2,traffic,2,2,False,,50.0,50.0,0,0,1,0,True,0,N/A,N/A,N/A,N/A
case_4_dynamic_ascent_zone,D3,traffic,1,1,True,37.0,61.2,38.8,0,0,0,0,False,0,N/A,N/A,N/A,N/A
