case,time_sec,nearest_same_layer_separation
case_4_dynamic_ascent_zone,17.0,2.421375528142601
case_4_dynamic_ascent_zone,17.5,2.339468575130039
case_4_dynamic_ascent_zone,18.0,2.2590190304099007
case_4_dynamic_ascent_zone,18.5,2.1801882362509897
case_4_dynamic_ascent_zone,19.0,2.1031582230589105
case_4_dynamic_ascent_zone,19.5,2.0281341861310427
case_4_dynamic_ascent_zone,20.0,1.9553470389387513
case_4_dynamic_ascent_zone,20.5,1.8850559165233414
case_4_dynamic_ascent_zone,21.0,1.8175504323547034
case_4_dynamic_ascent_zone,21.5,1.7531524006445882
case_4_dynamic_ascent_zone,22.0,1.6922166249091741
case_4_dynamic_ascent_zone,22.5,1.6351302307009408
case_4_dynamic_ascent_zone,23.0,1.5823099055132102
case_4_dynamic_ascent_zone,23.5,1.5341963377672163
case_4_dynamic_ascent_zone,24.0,1.4912451738568853
case_4_dynamic_ascent_zone,24.5,1.453914005120167
case_4_dynamic_ascent_zone,25.0,1.422645317715445
case_4_dynamic_ascent_zone,25.5,1.3978460093124678
case_4_dynamic_ascent_zone,26.0,1.379864932333562
case_4_dynamic_ascent_zone,26.5,1.3490455658084497
case_4_dynamic_ascent_zone,27.0,1.2995642973467962
case_4_dynamic_ascent_zone,27.5,1.2561093850654506
case_4_dynamic_ascent_zone,28.0,1.2193253099811125
case_4_dynamic_ascent_zone,28.5,1.189830927431107
case_4_dynamic_ascent_zone,29.0,1.1681785223939878
case_4_dynamic_ascent_zone,29.5,1.1548092849010314
case_4_dynamic_ascent_zone,30.0,1.15001213419888
case_4_dynamic_ascent_zone,30.5,1.1538939869484084
case_4_dynamic_ascent_zone,31.0,1.1663681911929544
case_4_dynamic_ascent_zone,31.5,1.1871639237012532
case_4_dynamic_ascent_zone,32.0,1.2158542700705481
case_4_dynamic_ascent_zone,32.5,1.251896573347741
case_4_dynamic_ascent_zone,33.0,1.2946769692362825
case_4_dynamic_ascent_zone,33.5,1.3435519636329203
case_4_dynamic_ascent_zone,34.0,1.3783752191269742
case_4_dynamic_ascent_zone,34.5,1.3956186182450707
case_4_dynamic_ascent_zone,35.0,1.4197127915466667
case_4_dynamic_ascent_zone,35.5,1.4503163425164096
case_4_dynamic_ascent_zone,36.0,1.4870274295584207
case_4_dynamic_ascent_zone,36.5,1.5294063093723882
case_4_dynamic_ascent_zone,37.0,1.576996113513606
case_4_dynamic_ascent_zone,37.5,1.6293403035971232
case_4_dynamic_ascent_zone,38.0,1.685996117378362
case_4_dynamic_ascent_zone,38.5,1.7465440133886851
case_4_dynamic_ascent_zone,39.0,1.8105935694110933
case_4_dynamic_ascent_zone,39.5,1.8777865044998463
case_4_dynamic_ascent_zone,40.0,1.94779753551818
case_4_dynamic_ascent_zone,40.5,2.0203337155677126
case_4_dynamic_ascent_zone,41.0,2.0951327893831904
case_4_dynamic_ascent_zone,41.5,2.1719609775586517
case_4_dynamic_ascent_zone,42.0,2.2506104884956164
case_4_dynamic_ascent_zone,42.5,2.3308969633631227
case_4_dynamic_ascent_zone,43.0,2.4126569869553296
case_4_dynamic_ascent_zone,43.5,2.495745744180147
case_4_dynamic_ascent_zone,44.0,2.5800348645865734
case_4_dynamic_ascent_zone,44.5,2.6654104722108385
case_5_congested_lane,0.0,2.1691456037047563
case_5_congested_lane,0.5,2.133284000155114
case_5_congested_lane,1.0,2.101007423521569
case_5_congested_lane,1.5,2.072483378750355
case_5_congested_lane,2.0,2.0478686749469657
case_5_congested_lane,2.5,2.0273057138947745
case_5_congested_lane,3.0,2.010918794601256
case_5_congested_lane,3.5,1.9988106294743242
case_5_congested_lane,4.0,1.9910592807968641
case_5_congested_lane,4.5,1.9877157190916195
case_5_congested_lane,5.0,1.9888021755140233
case_5_congested_lane,5.5,1.9569999999999936
case_5_congested_lane,6.0,1.9104999999999936
case_5_congested_lane,6.5,1.8639999999999937
case_5_congested_lane,7.0,1.8174999999999937
case_5_congested_lane,7.5,1.7709999999999937
case_5_congested_lane,8.0,1.7244999999999937
case_5_congested_lane,8.5,1.6779999999999937
case_5_congested_lane,9.0,1.6314999999999937
case_5_congested_lane,9.5,1.5849999999999937
case_5_congested_lane,10.0,1.5384999999999938
case_5_congested_lane,10.5,1.4919999999999938
case_5_congested_lane,11.0,1.8550000000000075
case_5_congested_lane,11.5,1.8400000000000087
case_5_congested_lane,12.0,1.8250000000000082
case_5_congested_lane,12.5,1.773250000000008
case_5_congested_lane,13.0,1.7215000000000078
case_5_congested_lane,13.5,1.6697500000000076
case_5_congested_lane,14.0,1.6180000000000074
case_5_congested_lane,14.5,1.5662500000000072
case_5_congested_lane,15.0,1.5145000000000088
case_5_congested_lane,15.5,1.4627500000000104
case_5_congested_lane,16.0,1.411000000000012
case_5_congested_lane,16.5,1.3592500000000136
case_5_congested_lane,17.0,1.3075000000000152
case_5_congested_lane,17.5,1.3217500000000157
case_5_congested_lane,18.0,1.3360000000000163
case_5_congested_lane,18.5,1.3502500000000168
case_5_congested_lane,19.0,1.2985000000000184
case_5_congested_lane,19.5,1.312750000000019
case_5_congested_lane,20.0,1.3270000000000195
case_5_congested_lane,20.5,1.34125000000002
case_5_congested_lane,21.0,1.8729999999999976
case_5_congested_lane,21.5,1.9117499999999978
case_5_congested_lane,22.0,1.9504999999999963
case_5_congested_lane,22.5,1.9892499999999966
case_5_congested_lane,23.0,2.027999999999997
case_5_congested_lane,23.5,2.066749999999997
case_5_congested_lane,24.0,2.1054999999999975
case_5_congested_lane,24.5,2.1442499999999978
case_5_congested_lane,25.0,2.182999999999998
case_5_congested_lane,25.5,2.2217499999999983
case_5_congested_lane,26.0,2.2604999999999986
case_5_congested_lane,26.5,2.299249999999999
